ID,Re-annotation (y or n),High quality prediction (y or n),comment
1,y,n,
2,n,n,
3,y,n,
4,y,n,
5,n,n,
6,y,n,
7,y,n,
8,y,n,
9,y,n,
10,y,n,
11,n,y,maybe high quality. cannot be sure until see the 3D image
12,y,n,
13,y,n,
14,n,y,maybe high quality. cannot be sure until see the 3D image
15,n,y,maybe high quality. cannot be sure until see the 3D image
16,y,n,
17,n,y,maybe high quality. cannot be sure until see the 3D image
18,n,y,maybe high quality. cannot be sure until see the 3D image
19,n,y,
20,y,n,
21,y,n,
22,n,y,
23,y,n,
24,y,n,
25,y,n,
26,n,y,
27,y,n,
28,n,y,
29,y,n,
30,y,n,
31,y,n,
32,y,n,
33,y,n,
34,n,y,maybe high quality. cannot be sure until see the 3D image
35,y,n,
36,n,y,
37,y,n,
38,y,n,
39,n,y,
40,n,y,maybe high quality. cannot be sure until see the 3D image
41,y,n,
42,n,y,
43,y,n,
44,y,n,
45,n,y,maybe high quality. cannot be sure until see the 3D image
46,n,y,
47,n,y,
48,y,n,
49,n,y,
50,y,n,
51,y,n,
52,n,y,
53,y,n,
54,n,y,
55,n,y,
56,y,n,
57,y,n,
58,n,y,
59,y,n,
60,n,y,
61,n,y,
62,y,n,
63,y,n,
64,y,n,
65,n,y,
66,y,n,
67,y,n,
68,y,n,
69,n,y,maybe high quality. cannot be sure until see the 3D image
70,n,y,
71,y,n,
72,y,n,
73,y,n,
74,n,y,
75,n,y,maybe high quality. cannot be sure until see the 3D image
76,n,y,
77,n,y,maybe high quality. cannot be sure until see the 3D image
